Country,Adjective,Area,,Africa,Asia,Canada,Europe,Greenland,United States,Mexico,Central America,Caribbean,South America,Oceania,Antarctica
,,,,,,Mürzsteg Alps,Vogelsberg Mountains,,Sangre de Cristo Mountains,,,,,,
,,,,,,Nonsberg Group,Vosges mountains,,Sawatch Range,,,,,,
,,,,,,Ortler Alps ,Wales mountains,,Sawtooth Range,,,,,,
,,,,,,Ötztal Alps,Black Mountains,,Shoshone Range,,,,,,
,,,,,,Pennine Alps ,Brecon Beacons,,Smoky Mountains,,,,,,
,,,,,,Pohorje ,Snowdonia,,Soldier Mountains,,,,,,
,,,,,,Radstadt Tauern ,West Vardar/Pelagonia mountain range,,Swan Range,,,,,,
,,,,,,Rax-Schneeberg Group,Baba Mountain,,Tenmile Range,,,,,,
,,,,,,Reisseck Group,Jakupica,,Teton Range,,,,,,
,,,,,,Rhaetian Alps,Nidže,,Tobacco Root Mountains,,,,,,
,,,,,,Rieserferner Group ,Kožuf,,Uinta Mountains,,,,,,
,,,,,,Rosalia Mountains ,Queyras massif,,Wasatch Range,,,,,,
,,,,,,Rottenmann and Wölz Tauern,,,Bear River Mountains,,,,,,
,,,,,,Samnaun Alps ,,,Washburn Range,,,,,,
,,,,,,Sarntal Alps ,,,White Cloud Mountains,,,,,,
,,,,,,Schladming Tauern,,,Whitefish Range,,,,,,
,,,,,,Schober Group ,,,Wind River Range,,,,,,
,,,,,,Seckau Tauern ,,,Wyoming Range,,,,,,
,,,,,,Southern Alps (Europe),,,Ruby Mountains,,,,,,
,,,,,,Stubai Alps,,,Sacramento Mountains,,,,,,
,,,,,,Totes Gebirge ,,,Saint Elias Mountains,,,,,,
,,,,,,Tux Alps,,,Brabazon Range,,,,,,
,,,,,,Upper Austrian Prealps,,,Fairweather Range,,,,,,
,,,,,,Venediger Group ,,,San Andres Mountains,,,,,,
,,,,,,Verwall Alps,,,San Francisco Mountains,,,,,,
,,,,,,Vicentine Alps ,,,San Francisco Peaks,,,,,,
,,,,,,Vienna Woods,,,Manzano Mountains,,,,,,
,,,,,,Villgraten Mountains,,,Manzano Mountains,,,,,,
,,,,,,Western Alps,,,Sandia Mountains,,,,,,
,,,,,,Wetterstein,,,Sawtooth Mountains,,,,,,
,,,,,,Zillertal,,,Schell Creek Range,,,,,,
,,,,,,,,,Selenite Range,,,,,,
,,,,,,,,,Seward Peninsula ranges,,,,,,
,,,,,,,,,Bendeleben Mountains,,,,,,
,,,,,,,,,Darby Mountains,,,,,,
,,,,,,,,,Kigluaik Mountains,,,,,,
,,,,,,,,,York Mountains,,,,,,
,,,,,,,,,Sheep Range,,,,,,
,,,,,,,,,Shoshone Mountains,,,,,,
,,,,,,,,,Shoshone Range,,,,,,
,,,,,,,,,Sierra Nevada,,,,,,
,,,,,,,,,Snake Range,,,,,,
,,,,,,,,,South Moccasin Mountains,,,,,,
,,,,,,,,,Spring Mountains,,,,,,
,,,,,,,,,Star Range,,,,,,
,,,,,,,,,Superstition Mountains,,,,,,
,,,,,,,,,Sutter Buttes,,,,,,
,,,,,,,,,Sweet Grass Hills,,,,,,
,,,,,,,,,Texas Hill Country,,,,,,
,,,,,,,,,Toiyabe Range,,,,,,
,,,,,,,,,Transverse Ranges,,,,,,
,,,,,,,,,Chalk Hills,,,,,,
,,,,,,,,,Little San Bernardino Mountains,,,,,,
,,,,,,,,,Pine Mountain Ridge,,,,,,
,,,,,,,,,Puente Hills,,,,,,
,,,,,,,,,San Bernardino Mountains,,,,,,
,,,,,,,,,San Emigdio Mountains,,,,,,
,,,,,,,,,San Gabriel Mountains,,,,,,
,,,,,,,,,San Jose Hills,,,,,,
,,,,,,,,,San Rafael Hills,,,,,,
,,,,,,,,,San Rafael Mountains,,,,,,
,,,,,,,,,Santa Monica Mountains,,,,,,
,,,,,,,,,Santa Susana Mountains,,,,,,
,,,,,,,,,Santa Ynez Mountains,,,,,,
,,,,,,,,,Shandin Hills,,,,,,
,,,,,,,,,Sierra Pelona Ridge,,,,,,
,,,,,,,,,Simi Hills,,,,,,
,,,,,,,,,Tehachapi Mountains,,,,,,
,,,,,,,,,Topatopa Mountains,,,,,,
,,,,,,,,,Tushar Mountains,,,,,,
,,,,,,,,,U.S. Interior Highlands,,,,,,
,,,,,,,,,Ouachita Mountains,,,,,,
,,,,,,,,,Ozark Plateau,,,,,,
,,,,,,,,,Boston Mountains,,,,,,
,,,,,,,,,St. Francois Mountains,,,,,,
,,,,,,,,,Uwharrie Mountains,,,,,,
,,,,,,,,,Virginia Mountains,,,,,,
,,,,,,,,,West Humboldt Range,,,,,,
,,,,,,,,,West Mountains,,,,,,
,,,,,,,,,White Mountains,,,,,,
,,,,,,,,,White Mountains,,,,,,
,,,,,,,,,White Mountains,,,,,,
,,,,,,,,,Wichita Mountains,,,,,,
,,,,,,,,,Wolf Mountains,,,,,,
