Country,Adjective,Area,,Africa,Asia,Canada,Europe,Greenland,United States,Mexico,Central America,Caribbean,South America,Oceania,Antarctica
Burkina Faso, Burkinabe,Tibet,,Khufleh Range,Churia Hills,Cameron Range,Sesvenna Range,Mols Range,Mount Tom Range,,,,Principal Cordillera,Franklin Mountains,Drygalski Mountains
Burundi, Burundian,European,,Kilimanjaro,Siwalik Range,Canadian Rockies,Silvretta,Murchison Range,Ossipee Mountains,,,,Cordillera de la Ramada,Glasgow Range,Kurze Mountains
Cabo Verde, Cape Verdean,Siberian,,Meru,Hindu Kush,Cantilever Range,Rätikon,Musk Ox Mountains,Taconic Mountains,,,,Sierra de Velasco,Hakarimata Range,Gagarin Mountains
Cambodia, Cambodian,American,,Kipengere,Japanese Alps,Cariboo Mountains,Stubai Alps,Norlund Alps,Wapack Range,,,,Cordillera de Talinay,Hapuakohe Range,Conrad Mountains
Cameroon, Cameroonian,Central American,,Lebombo,Akaishi Mountains,Cascade Range,Tux Alps,Pentamerus Range,White Mountains,,,,Cordillera Negra (Chile),Herangi Range,Wohlthat Mountains
Canada, Canadian,Southern American,,Magaliesberg,Hida Mountains,Cayoosh Range,Verwall Alps,Pictet Range,Carter-Moriah Range,,,,Cordillera del Paine,Huiarau Range,Humboldt Mountains
Central African Republic, Central African,Chinese,,Mahale,Kiso Mountains,Challenger Mountains,Zillertal Alps,Prince of Wales Range,Dartmouth Range,,,,Sierra Baguales,Humboldt Mountains,Petermann Ranges
Chad, Chadian,Tibetean,,Mandara ,Judaean Mountains,Chilcotin Ranges,Northern Limestone Alps,Princess Caroline Mathilde Alps,Franconia Range,,,,Cordillera Sarmiento,Hundalee Hills,Gruber Mountains
Chile, Chilean,Japanese,,Moka Range,Kabir Kuh,Clachnacudainn Range,Allgäu Alps,Princess Elizabeth Alps,Kinsman Range,,,,Cordillera Riesco,Hunter Mountains,Hoel Mountains
China, Chinese,Northern Chinese,,Ogo,Karakoram,Clendinning Range,Berchtesgaden Alps,Qârusuit Range,Mahoosuc Range,,,,Cordillera Darwin,Hunua Ranges,Weyprecht Mountains
Colombia, Colombian,Australian,,Outeniqua,Khingan Mountains,Cloister Mountains,Dachstein,Qivssakatdlagfik,Presidential Range,,,,Martial Mountains,Kā Mauka-Tokoweka,Payer Mountains
Comoros, Comorian,Teasmanian,,Pare,Greater Khingan,Coast Mountains,Ennstaler Alpen,Queen Louise Land,Pilot Range,,,,Dientes de Navarino,Kaikōura Ranges,Lomonosov Mountains
"Congo, Democratic Republic of the", Congolese,African,,Piton des Neiges,Lesser Khingan,Columbia Mountains,Karwendel,Rold Range,Twin Range,,,,Sierra de La Ventana,Kaimai Range,Sør Rondane Mountains
"Congo, Republic of the", Congolese,Andean,,Rif,Khibinsky Mountains,Conger Range,Lechtal Alps,Roosevelt Range,Sandwich Range,,,,Sierras Pampeanas,Kaitake Range,Belgica Mountains
Costa Rica, Costa Rican,Northern American,,Rwenzori,Kirthar Mountains,Coquitlam Range,Totes Gebirge,Schweizerland,Newfoundland Highlands,,,,Sierras de Córdoba,Kakanui Range,Planet Heights
Côte d’Ivoire,Côte d’Ivoire,Antarctican,,Semien,Knuckles Mountain Range,Crease Range,Wetterstein,Sioraq Range (Sioraq Fjelde),Long Range Mountains,,,,Sistema de Tandilia,Kākāpō Range,Queen Fabiola Mountains
Croatia, Croatian,Arctican,,Swartberg,Kolyma Mountains Russia,Cunningham Mountains,Wilden Kaiser,Stauning Alps,Notre Dame Mountains,,,,Guiana Highlands,Kaweka Range,Aristotle Mountains
